vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.22,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,生技分三個部門 動力...,年薪不錯 基本上有1...
生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.13,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,傳產環境 公司整個是...,不太適合年輕人吧 整...
管理師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.09,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,2,4,"辦公室老舊
開放式...","同事很多老人
氣氛..."
品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.04.27,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,6,11,公司發展很多新事業但...,進來會做人比會做事更...
補給員,裕隆集團_裕隆汽車製造股份有限公司,2022.04.10,全職,苗栗,,,,,,,想換工作了,準時上下班,8 hr,2,2,"工作內容很看單位喔
...",工作內容大致上沒什麼...
行政助理,裕隆集團_裕隆汽車製造股份有限公司,2022.04.07,派遣,苗栗,,,,,,,平常心,很少加班,8 hr,1,1,工作內容：不外乎一般...,如果是剛畢業的新鮮人...
製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.01.04,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,2,2,1. 工作內容: 針...,"優點:
1. 步調..."
審查員,裕隆集團_裕隆汽車製造股份有限公司,2021.12.09,全職,高雄,,,,,,,想換工作了,常常加班,10 hr,1,1,工作內容就是不斷打電...,如果自己真的很缺錢可...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.11.26,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,1,1,福利不錯，工作穩定且...,準備面試前細心了解自...
設備工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.11.11,全職,苗栗,,,,,,,想換工作了,偶爾加班,9 hr,8,10,學不到什麼專業，薪水...,工時不算很長，薪水不...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.10.19,全職,苗栗,,,,,,,想換工作了,常常加班,11 hr,1,1,主要工作內容：各種量...,對於在職場上打滾過的...
採購工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.08.27,全職,苗栗,,,,,,,平常心,常常加班,9 hr,1,1,工作項目一為負責納智...,畢竟國產車市場在萎縮...
車輛底盤開發工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.08.19,全職,苗栗,,,,,,,平常心,常常加班,9 hr,1,3,原以為是負責底盤設計...,若是真的想學車輛設計...
製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.08.09,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,3,3,工作項目涵蓋直材間材...,擅長寫報告的人非常適...
業務代表,裕隆集團_裕隆汽車製造股份有限公司,2021.08.05,全職,新北,,,,,,,想換工作了,賣肝拼經濟,12 hr,5,5,工作內容：介紹車款以...,工時非常的長，要有心...
設備開發工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.07.25,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,9,"公司福利尚可 , 但...",裕隆就是一間很典型的...
製造部作業員,裕隆集團_裕隆汽車製造股份有限公司,2021.07.22,全職,苗栗,,,,,,,平常心,偶爾加班,8 hr,4,4,移動式產線作業，有一...,需要非常耐操型的人，...
生物管工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.07.16,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,6,"公司內部老化, 很少...","如果是新鮮人, 也喜..."
工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.06.25,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,2,5,寫不完的報告開不完的...,喜歡開會還有被羞辱的...
車身工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.06.17,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,6,生產技術部是工時最長...,基本上線上所有的員工...
IE工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.05.22,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,3,1. 三義工廠廠區非...,1.薪水比較沒有成長...
生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.05.19,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,公司沒有設計 算是汽...,養老的公司 官僚 學...
管理師,裕隆集團_裕隆汽車製造股份有限公司,2021.05.13,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,1,"有教育訓練
內部辦...",樂意接受新鮮人，可提...
品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.04.26,全職,苗栗,,,,,,,平常心,常常加班,10 hr,8,8,常態加班，主管會以加...,薪資待遇不錯但每年離...
IE工程師,裕隆集團_裕隆汽車製造股份有限公司,2021.03.22,全職,苗栗,,,,,,,還算愉快,偶爾加班,10 hr,3,3,產線工時平衡規劃、工...,年終還不錯的公司，中...
設備維修員,裕隆集團_裕隆汽車製造股份有限公司,2021.02.03,全職,苗栗,,,,,,,有苦說不出,偶爾加班,8 hr,4,0,設備不能停，設備老舊...,目前維修這塊老一輩退...
管理師,裕隆集團_裕隆汽車製造股份有限公司,2020.11.06,全職,臺北,,,,,,,平常心,偶爾加班,8 hr,1,0,看情況，去不到一個月...,年薪給的不錯，加班費...
生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.11.04,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,11,0,沒有誠信可言的公司，...,別去沒有誠信的公司上...
高級專員,裕隆集團_裕隆汽車製造股份有限公司,2020.11.03,全職,臺北,,,,,,,有苦說不出,準時上下班,9 hr,3,0,傳統產業，因集團龐大...,是一個可以學習集團運...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.10.20,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,2,0,工作內容偏雜，除了N...,薪資只能說尚可，要對...
工業工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.09.27,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,3,0,傳統產業思維；勞力密...,適合當新手村，剛出社...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.09.21,全職,苗栗,,,,,,,平常心,常常加班,9 hr,2,0,福利比上不足、比下有...,這只是份工作，老闆要...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.07.30,全職,臺中,,,,,,,平常心,偶爾加班,10 hr,3,0,車型開發，設備導入，...,對汽車有興趣者，不排...
機械工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.07.04,全職,苗栗,,,,,,,有苦說不出,常常加班,11 hr,5,0,工作充實，福利佳，工...,有別於一般的傳統製造...
生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.06.11,全職,苗栗,,,,,,,想換工作了,賣肝拼經濟,13 hr,3,0,加班換抵休，年資週期...,企業文化不看重技術層...
財務管理師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.24,全職,苗栗,,,,,,,平常心,偶爾加班,8 hr,2,0,公司規模大，遇事溝通...,傳產氛圍，需思考是否...
管理師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.14,全職,新竹,,,,,,,還算愉快,常常加班,10 hr,1,0,同事很友善，長官很難...,工作都快做不完了，常...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.05,全職,苗栗,,,,,,,平常心,偶爾加班,12 hr,1,0,工作內容是工廠的管理...,對於資料統整、統計學...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.05.03,全職,苗栗,,,,,,,還算愉快,常常加班,12 hr,1,0,福利很好，旅遊、三節...,報告比較多，若對於報...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.04.07,全職,苗栗,,,,,,,有苦說不出,常常加班,11 hr,9,0,原則上做報告時間會佔...,現況約每兩年調一次薪...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.03.23,全職,苗栗,,,,,,,平常心,偶爾加班,12 hr,1,0,福利很好，案子忙的時...,是個還不錯的大公司，...
生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.03.17,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,處理產線相關問題做成...,"如果想存錢可以來,這..."
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.03.03,全職,苗栗,,,,,,,平常心,常常加班,10 hr,4,0,主要做日產及納自捷的...,剛有提到會1-2年可...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.02.17,全職,苗栗,,,,,,,有苦說不出,偶爾加班,10 hr,2,0,處理汽車製造產線的一...,"如果是像存錢可以來,..."
IE工程師,裕隆集團_裕隆汽車製造股份有限公司,2020.02.04,全職,苗栗,,,,,,,有苦說不出,常常加班,11 hr,3,0,年終高，有端午、中秋...,比上不足，比下有餘的...
Ie,裕隆集團_裕隆汽車製造股份有限公司,2020.01.07,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,3,0,上班不會太操，但就是...,符合養老的人來，沒有...
機電整合,裕隆集團_裕隆汽車製造股份有限公司,2019.11.29,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,公司不會讓人太晚下班...,建議想安穩的可以考慮...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.08.19,全職,苗栗,,,,,,,有苦說不出,常常加班,9 hr,1,0,主管無帶人能力且無專...,新鮮人開開眼界洗履歷...
機械工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.07.16,全職,苗栗,,,,,,,非常開心,準時上下班,8 hr,4,0,年終很多，正常上下班...,要很會做報告，最好要...
採購工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.06.26,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,地方偏遠，有很深的公...,可以來練基本工，常要...
電動車系統開發工程師,裕隆集團_裕隆汽車製造股份有限公司,2019.04.29,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,工作地點就在廠端，地...,如果是對軟體研發有興...
接待,裕隆集團_裕隆汽車製造股份有限公司,2019.02.12,全職,臺中,,,,,,,平常心,常常加班,8 hr,4,0,學習好地方 這個地方...,學習好地方 這個地方...
品檢部,裕隆集團_裕隆汽車製造股份有限公司,2018.11.20,全職,苗栗,,,,,,,平常心,偶爾加班,-,7,0,,
設備,裕隆集團_裕隆汽車製造股份有限公司,2018.10.30,全職,苗栗,,,,,,,平常心,常常加班,-,8,0,,
生產技術部工程師,裕隆集團_裕隆汽車製造股份有限公司,2018.10.13,全職,苗栗,,,,,,,有苦說不出,偶爾加班,-,7,0,薪水待遇對比工作量，...,
品保,裕隆集團_裕隆汽車製造股份有限公司,2018.09.03,全職,苗栗,,,,,,,平常心,常常加班,-,1,0,,
HR,裕隆集團_裕隆汽車製造股份有限公司,2018.08.27,全職,苗栗,,,,,,,有苦說不出,常常加班,-,1,0,還不錯但地處偏遠...,
HR,裕隆集團_裕隆汽車製造股份有限公司,2018.08.22,全職,苗栗,,,,,,,有苦說不出,偶爾加班,-,1,0,福利好 起薪高...,
生技,裕隆集團_裕隆汽車製造股份有限公司,2018.06.13,全職,苗栗,,,,,,,平常心,常常加班,-,2,0,,
品檢部,裕隆集團_裕隆汽車製造股份有限公司,2018.03.02,全職,苗栗,,,,,,,平常心,常常加班,-,4,0,,
生產調達部,裕隆集團_裕隆汽車製造股份有限公司,2018.02.11,全職,苗栗,,,,,,,有苦說不出,常常加班,-,1,0,,
MIS,裕隆集團_裕隆汽車製造股份有限公司,2018.02.10,全職,苗栗,,,,,,,平常心,賣肝拼經濟,-,4,0,,
品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2018.01.30,全職,苗栗,,,,,,,有苦說不出,常常加班,-,1,0,,
品檢部/工程師,裕隆集團_裕隆汽車製造股份有限公司,2017.11.19,全職,苗栗,,,,,,,平常心,偶爾加班,-,6,0,,
生產技術部,裕隆集團_裕隆汽車製造股份有限公司,2017.11.07,全職,苗栗,,,,,,,想換工作了,偶爾加班,-,3,0,,
生產,裕隆集團_裕隆汽車製造股份有限公司,2017.11.03,全職,苗栗,,,,,,,有苦說不出,偶爾加班,-,1,0,,
供應部,裕隆集團_裕隆汽車製造股份有限公司,2017.11.02,全職,苗栗,,,,,,,平常心,常常加班,-,5,0,,
供應部,裕隆集團_裕隆汽車製造股份有限公司,2017.07.07,全職,苗栗,,,,,,,平常心,偶爾加班,-,1,0,,
生產技術部/車身組工程師,裕隆集團_裕隆汽車製造股份有限公司,2017.06.13,全職,苗栗,,,,,,,平常心,偶爾加班,-,1,0,,
purchase,裕隆集團_裕隆汽車製造股份有限公司,2017.05.31,全職,臺北,,,,,,,有苦說不出,偶爾加班,-,5,0,,
生產技術部,裕隆集團_裕隆汽車製造股份有限公司,2017.04.10,全職,苗栗,,,,,,,想換工作了,偶爾加班,-,2,0,,
管理師,裕隆集團_裕隆汽車製造股份有限公司,2016.10.19,全職,新北,,,,,,,有苦說不出,很少加班,-,8,0,,
financial manager,裕隆集團_裕隆汽車製造股份有限公司,2016.04.22,全職,三義,,,,,,,有苦說不出,很少加班,-,1,0,,
管理師,裕隆集團_裕隆汽車製造股份有限公司,2016.04.07,全職,新北,,,,,,,平常心,常常加班,-,7,0,,
外派人員,裕隆集團_裕隆汽車製造股份有限公司,2016.03.29,全職,中國,,,,,,,平常心,賣肝拼經濟,-,5,0,,
資深工程師,裕隆集團_裕隆汽車製造股份有限公司,2016.03.25,全職,苗栗,,,,,,,有苦說不出,很少加班,-,8,0,,
機械工程師,裕隆集團_裕隆汽車製造股份有限公司,2016.02.03,全職,苗栗,,,,,,,平常心,偶爾加班,-,10,0,,
出納專員,裕隆集團_裕隆日產汽車股份有限公司,2022.11.03,全職,臺中,32-33k,380-390k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,"1. 薪資，面試時說碩士高於32000，因為32000在公司是大學畢業生的價碼，結果拿到薪資單一樣只有32000左右，頂多33000。
2. 加班，薪資沒增加就算了，但上班要提早去打掃和點名，下班工作沒做完要先打卡，做完才能走，如果你直接走，隔天一定會被唸。基本上每天都會延遲下班。
3.不能有問題，要求新人教一次就要融會貫通，問問題一定會被唸，動作比較慢也是。
4.被霸凌，新人一犯錯到最後直接罵，什麼都罵，發現你學比較慢就對你貼上不認真的標籤，從此沒好日子過，基本上每天都會被罵，就算撐到下午，一樣會找事情電你。
5.有問題不聯絡你，打電話直接到家裡，這點我真的傻爆眼，我接起來跟我說要找X先生（我爸的名字），結果是講有關我的事情，我爸直接請他打給我。
6.工作雜到不行，業助的工作也是你的工作。
7.考核會出鳥題目，各種刁鑽狀況，你應付得卡卡一樣被唸，前輩會演奧客來讓你考試。考當日帳款確認也會故意把帳弄亂，讓你在短時間內要把帳抓出來整理清楚，一樣太慢或是找主管討論會被唸。
8.交接根本不是交接，最後一天要歸還東西了，還要你繼續把交接表上列的工作做完才能走，請問這叫什麼交接？都做完了還交接個毛？導致我隔天還要再跑一趟辦程序。
9.主管休假還會打電話到公司電你，沒接到他的一通電話就直接爆氣說為什麼掛他電話？上班根本很少用手機，打line沒接到不知道在氣什麼...","如果你夠奴再來,基本上每天都要加班,沒加班主管還會跟同事私底下抱怨你,請假也會被講壞話,就是一個很表面的公司試好聲好氣,取後各種刁難,職也不會放過你,壓榨到最
後一刻,表根本沒有什麼工作需要交接的。
有問題跟中階主管反應也沒用,絕對挺資深專員,甚至我離職想當面道謝也放我鴿子,說離手
續當天可以直接去位找他,結果他休假,明明前一天還有通電話確認。
總之中部據點絕對不要來!"
採購工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.08.12,全職,苗栗,,,,,,,還算愉快,準時上下班,8 hr,6,6,半日商公司，有日文翻...,對車子有熱忱可以加入...
財務管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.31,全職,臺北,,,,,,,有苦說不出,偶爾加班,10 hr,2,4,一般財務會計相關工作...,考慮發展性跟快速賺錢...
機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.19,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作內容算是假RD，...,裕隆的經營階層，感受...
專案管理工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.02,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,9,1. 工作內容：新車...,1. 國產車市佔率逐...
研發工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.25,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,1,針對台灣市場台灣法規...,"好山好水
適合平淡..."
車體設計工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,3,4,1. 新車開發：內外...,公司穩定，且工作步調...
管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.01.15,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,5,8,高聳垂直化組織階級、...,同事間相處環境融洽。...
商品企劃,裕隆集團_裕隆日產汽車股份有限公司,2022.01.06,全職,苗栗,48-49k,570-580k,5,2,,,有苦說不出,常常加班,10 hr,6,6,"主要工作內容
市場分析, 消費者分析, 競爭車款分析,獲利分析,銷售預估與年度產品提案等
這個部門的工作氛圍還算不錯, 但整體來說裕隆還算是比較傳統的公司, 要升職主要還是要看年資,當然會參考工作表現
福利條件在中部地區算是不錯的, 如果當年度銷售與獲利狀況不錯的話, 應該可以領得蠻開心的
工作時間, 因為這工作算有一定的專業度, 所以工作時間普遍比較長, 尤其一開始剛接觸的時候需要多花點心力學習, 等上手之後會比較好","對汽車產業有興趣的可以考慮
雖然工作蠻辛苦的,但可以累積汽車相關知識與技能"
生產技術工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.10.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,8,10,1）新車生產設備導入...,汽車產業算傳產福利較...
製程設備工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.30,全職,臺南,,,,,,,想換工作了,很少加班,9 hr,1,1,採取師徒制，一個學長...,如果遇到這樣的學長，...
管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.14,全職,苗栗,,,,,,,還算愉快,賣肝拼經濟,10 hr,1,5,上班氣氛算是輕鬆，同...,上班需要注意穿著，公...
經營管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.13,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,主要負責董事會及審委...,英文能力要夠好，因為...
機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.08.17,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,4,4,工作環境尚可，上下班...,剛出社會求職者需要有...
商品企劃管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.06.13,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,2,2,工作項目:車型商品規...,三義生活會有點無聊，...
