,date,content,poster,posterUrl
77,2023-03-28,"CONBIZ CONSULTING CO., LTD. 徵才📝 【工作職缺】Payroll intern薪酬實習生 一名☝🏻 【徵求條件】 👉🏻大學三年級以上 👉🏻積極進取的態度、樂於學習態度，良好的溝通和團隊精神 👉🏻對數字不排斥、邏輯清晰、做事細心謹慎 👉🏻能夠與來自不同背景的人才進行交流、主動解決問題的能力 👉🏻具團隊合作精神，良好溝通能力 👉🏻excel熟悉函數相關功能者，尤佳 【工作時間】 📌上班時段：日班9：00-18：00 (午休1.5小時) 📌每周工作：至少3個整天(可協調) 【薪資待遇】 💰時薪$180  📌提供公司用的個人筆電💻。 📌公司有勞健保 【連絡方式】。 📓聯絡人：。      Elsa Tsai。 📧E-mail：。      elsa.tsai@conbiz.com.tw 電話：。 ☎️02-66058156 🌟「有興趣也歡迎使用104平台投遞職缺」🌟。 https://www.104.com.tw/job/7y3wa?jobsource=company_job 📌【公司福利】。 ✨不定時部門聚餐、下午茶🍰、喝到飽咖啡機☕️、公司按摩師、零食Bar🥤、各式社團活動(園藝社🎍、羽球社🏸)、三節禮品/獎金🎁、不定期國內旅遊⛵️、基本勞基法規定福利(勞健保等)、可提供實習時數學分及相關證明🖊️、節慶活動(情人節、萬聖節、聖誕節etc..)🎄。 ✨ P.s 還有一群活潑可愛的同事們🫶🏻 📌【工作地點】。    11049台北市信義區松勤街86號8樓 公司簡介-【Who We Are】。 ConBiz由具備10年以上獵才經驗的專業顧問設計、架構組成。 我們專注提供企業人力資源派遣、招募、薪酬的顧問服務，提供企業穩定的人力需求 #如果您是喜歡同時享受生活和工作的樂趣、樂於接受挑戰，擁有企圖心。 #如果你喜歡與不同背景和技能的人打交道，那麼這份工作正是你所追求的。 #我們擁有市場上高競爭力的薪資條件和樂意分享的環境、期待加入ConBiz，一起飛向職涯新高度🙋‍♀️",蔡依琳,/profile.php?id=100004517797545&eav=AfZLi0q4ujHkYbrNTPfXUCaJVrdAwbuoJzleSNtbmUSmpbRqS-QO31nJMlF9omnmlb8&refid=18&__tn__=C-R&paipv=0
78,2023-03-28,"#暑期實習 #航太產業 #國家太空中心假若有同學對航太產業很有興趣，這個暑假可以把握國家太空中心的實習機會。涵蓋多種領域，從機械/材料/光電/電機/都市計畫/數學/資工，還有科普傳媒的機會。。————————。【延伸閱讀】1. 國家太空中心主任吳宗信的「臺灣太空港」願景：https://pse.is/4tt97n2. 國家太空中心第三期國家太空科技發展長程計畫(2019~2028)：https://pse.is/4ut5tx3. 2021國家太空中心主任吳宗信：『我國太空產業發展現況與挑戰』https://pse.is/4t45s8————————【實習】2023年國家太空中心TASA暑期實習機會【工作職缺】【薪資待遇】大學生27,100元，碩士生28,000元，博士生33,400元(每月)【工作職缺】詳細需要看太空中心招募頁面 https://pse.is/4v6jhf 目前看到有13個主題招募，總計24個實習機會。 - 光學酬載組: 光學鏡片精密拋光技術研究發展與拋光機建置。 - 射場管理組: 發射場相關資料建立及研究。 - 衛星航電組: 姿態控制硬體迴路測試機電整合。 - 衛星航電組: 嵌入式系統平台轉移研究與實作。 - 衛星資料處理組: 影像技術與應用相關系統發展。 - 太空運輸系統航電組: 載具即時飛控系統設計與效能評估。 - 太空運輸系統航電組: 載具飛行模擬器開發/升階段飛行控制及導引研究。 - 太空運輸系統結構組: 載具結構模擬分析。 - 太空運輸系統整測組: 整合測試。 - 太空運輸系統推進組: 火箭推進器開發。 - 氣動燃燒模擬組: 載具外型設計與性能模擬實作。 - 系工組: 衛星軌道與姿態模擬與分析。 - 媒體公關室: 太空事務之公眾科普與推廣【工作時間】2023年7月3日至8月31日，為全職性質，每周一至周五，上班時間為7時30分彈性至9時30分，下班時間為16時30分彈性至18時30分，周休二日。【工作地點】因應實習的職缺，有新竹市園區/台南市/台北市大安區(媒體公關室)等【對象】國內外在學之大學生或研究生（含碩士班與博士班，依各組所列條件而定），須檢附在學證明。本計畫不適用今年暑假為應屆畢業生者。【應徵方式】準備相關文件 (1)申請表 (2)在學證明影本 (3)其他證明能力資料(請至活動頁面下載範本)。E-mail至 國家太空中心人力資源室 錢小姐 Email：angela.chien@tasa.org.tw，主旨註明「應徵太空中心2023年暑期實習生+姓名」。。圖片來自國家太空中心 TASA 粉專原始貼文，由於修改文章關係，分享的來源會消失，考慮到呈現複製圖片。原始貼文：https://pse.is/4uxgk5",藍偉任,/willy.lan.3?eav=AfaIEDSpOnQJIs03fp3bf0soh6-M7OS4Wonfv4krX1UsjXACpMtKe4_uD-HMn5L-j9s&refid=18&__tn__=C-R&paipv=0
79,2023-03-31,"#新創 #金融科技 #FinTech【誠徵 - 策略行銷實習生】💡 工作內容：1.策略分析出適切的合作對象並主動提出企劃，協助合作專案開發、執行及進度管控。2.協助市場調查、資料收集及整理，歸納出有趣的結果。3.協助線上線下行銷活動安排、GA數據分析與討論。4.完成主管交辦其他任務。-💡 必備經歷與能力：1.注重工作細節、做事細心謹慎、喜愛動腦思考、鬼點子很多及團隊合作。2.非害羞個性者，敢主動勇於表達自我意見，具商業合作開發(BD)規劃經驗佳。3.對金融科技與群眾募資有所一定程度認識有加分。4.喜愛嘗鮮與接觸新事物，對於生活周遭變動觀察細微，具有同理心，懂得換位思考。5.喜愛逛各大社群媒體(IG、FB、Dcard)與YouTube，找尋資料或是學習新知。--💡 應徵須知：1.錄取後隨時可上班2.至少投入 3個月，可投入 6個月更佳，並且每週工作至少 2天 ( 希望能有 2 個完整全天尤佳 )3. 工作地點：台北市松山區民生東路三段135號3樓 ( 樓下是麥當勞 )4. 時薪：176元💡 投遞履歷前請先了解我們喔：1. 公司官網：https://dreamloan.com.tw/2. IG：https://www.instagram.com/dreamloantaiwan/--投遞履歷請以 Email 方式檢附簡歷及聯絡方式。若有作品與自傳（不超過 1,000 字）也可一併附上。讓我們知道你的個人特色與優勢，將會大大增加獲取面試的機會。並請同步寄至聯絡信箱：jeffery.liu@dreamloan.com.tw 與 michael.wu@dreamloan.com.tw合適對象我們將透過 Email 通知進入第二關的面談。",Doris Ho,/profile.php?id=100006806567963&eav=Afb8MwnlPF9Iw7bGsNCn2cX4QPuit_7wlgsPIKI1VxtBmnhCw3QWllZgTmfJaprqm_Q&refid=18&__tn__=C-R&paipv=0
80,2023-03-31,"🌟 熱烈招募中｜2023 AWS 雲端技術支援實習計畫正式開跑！ AWS提供近200項功能完整的服務，如運算、儲存、資料庫、機器學習、物聯網等。我們的客戶遍布全球190個國家，各規模企業及政府單位皆使用AWS的雲端平台來降低成本、實現創新。 AWS在臺灣正快速地成長，我們正在尋找願意接受技術性挑戰的潛力人才，給即將離開學校、步入社會的你，一展長才的機會。 加入AWS，你將得到：。 * 學習 AWS 最新技術，在領域中佔有一席之地。 * 培養不同面向的技能，為團隊創造卓越的成果。 * 接觸各產業的客戶，了解 AWS 最佳使用情境。 * 接觸不同文化與團隊，與國外工程師溝通合作。 * 經驗豐富的管理團隊和導師來指導你的成長。 * 靈活的辦公方式，與International Transfer的機會。 * 卓越的福利和員工關懷 🤩 實習生表現良好者將有機會獲得正職工作 💰 薪資待遇：經常性薪資超過新台幣40,000元/月 ⏰ 工作時間：一週實習 3-5 天 for 6 months - 1 year 📍 工作地點：臺北 📆 招募期間：即日起，馬上投遞履歷吧 ⛳️ 投遞履歷：CSA實習（臺北）https://www.amazon.jobs/en/jobs/2173880/cloud-support-intern 後續，我們將會舉行一系列的校園宣傳活動，請持續關注我們哦~ 如有任何問題，  請電郵聯繫。 tw-csa-recruiting@amazon.com。 電郵主題：CSA2023 + Inquiry",梁铭原,/profile.php?id=100056518016684&eav=AfZkBccVYfGy4C0eNvSdwBQmdms5lGVp4H5saVWCKXq6gUFw1Mb95s4lfSS0QAbvx4w&refid=18&__tn__=C-R&paipv=0
81,2023-03-28,"Garmin 2023 GPS實習計畫正式啟動招募!!!🚀。我們致力於全球衛星定位系統 (GPS) 及通訊產品之研發、製造及銷售。。我們擁有完整且多樣化的產品線，包含航空、航海、車用、戶外休閒、運動健身五大市場領域及智慧型手機應用等。近年來在穿戴式裝置和運動攝影產品市場亦快速成長。在這裡，您有機會與世界各國頂尖的人才合作，跨文化的經驗更將提升您的視野與實力!。。🔺履歷隨到隨審，找到合適人選即會關閉職缺，請把握時間呦💪🏻。心動不如馬上行動，邀請您與我們共同站上世界的舞台!。。------。。▍職缺領域。研發與技術工程/生產與製造工程/業務與行銷/資訊科技/經營管理。▍實習生類別。- 學年實習(需一周配合五天)。- 學期間實習生 (一周至少三天)。- 暑期實習生。▍工作內容 & 徵求條件https://reurl.cc/Epb8ma。▍實習期間2023年7月~2024年6月。▍有無勞健保: 有。▍實習薪資月薪 - $28,000~$36,000時薪 - $176~$220。▍公司福利✨彈性上下班/員工餐廳/交通接駁車/多元社團/運動休閒設施/歡樂點心時間/旅遊補助…。▍工作地點。- 汐止廠: 新北市汐止區樟樹二路68號。- 汐止遠雄U-TOWN: 新北市汐止區新台五路一段97號。- 新店廠: 新北市新店區寶高路28號9樓。- 中壢廠: 桃園市中壢區北園路24號。- 林口廠: 桃園市龜山區華亞二路270號。- 台南廠: 台南市新市區堤塘港路3號。▍報名方式🔗請至官方招募網站依照指示投遞履歷(https://reurl.cc/Epb8ma)。▍連絡方式。asiatalent@garmin.com",Garmin Asia,/profile.php?id=100015358988857&eav=AfYlxjT-wC52zD3FtwF82pXidMn0LWcyV4nG0jnrH2oG4-96s_37DKqrFsMEMkRtk60&refid=18&__tn__=C-R&paipv=0
82,2023-03-10,"✨ 2023 PChome暑期實習計畫 現正招募中！✨ 你是否對電商感到憧憬與好奇？  想要在進入職場前累積實務經驗嗎？  歡迎你加入PChome與我們一起開箱你的無限可能！打造電商的美好時代！ -- 【公司名稱】PChome 網路家庭 【工作職缺】暑期實習生 【徵求條件】   🚀對電商產業感興趣的在學學生   🚀大二（含）以上、研究所在學學生 🚀暑假期間每周能上班五天 【工作時間】   🔺2023/7/4(二)-8/31(四) 9:30-18:30   🔺彈性上下班半小時，中午休息一小時 【薪資待遇】每月28,000-33,000元，實際薪資依過往學經歷核薪【聯絡方式】📪hr_recruit@staff.pchome.com.tw 【公司福利】 醒腦咖啡及茶水讓你免費喝！ 豐富多元教育訓練課程及活動等你參與！ 優質舒壓按摩，讓你與腰酸背痛說再見！ 五花八門團購商品任你選購！ 【工作地點】📍台北市大安區敦化南路二段105號 【工作設備】💻提供電腦及相關軟硬體設備 【有勞健保】有 【其他資訊】   更多實習生資訊：https://sites.google.com/pchome.tw/2023-pchome-intern 來測試看看你適合哪個PChome的實習專案：   https://m.me/100898726300715?ref=b1LnhsntLX報名表單：https://forms.gle/Bcn3CLSjtY7yDSP2A ⏰報名截止日：2023/4/9(日) ✨名額有限 報名從速✨ #2023實習 #暑期實習 #SummerIntern #PChome",廖于瑄,/yu.xuan.505?eav=AfZXZ8H3KY1npfNeDQZQLo6qFSAScaOc16NXYG_eC9Kr9NUNhx-BYQ9geUgJV30nzXA&refid=18&__tn__=C-R&paipv=0
83,2023-03-01,【 統一證券 MA 儲備主管計畫 倒數 30 天！】希望大家 228 連假愉快！這邊跟大家分享統一證券 MA 計畫資訊，請把握最後一個月的投遞時間！📌 https://cakeresume.me/M0yAm只要你是：應屆畢業生 or 工作經驗 2 年內，不限科系！多益 750 分以上就可以投遞！還不快來挑戰！！ --📄 履歷投遞應徵流程：點擊職缺內文中的「統一證券儲備主管計劃申請表」下載申請表填寫完畢後，備妥佐證資料，將申請表及佐證資料合併為一份 PDF 檔案（檔案大小請控制在 10MB 以內），檔名請填寫為『 2023MA-姓名-人才類別』最後直接點擊「立即應徵」，上傳 PDF 檔投遞履歷-- 3/15 前送出書審資料，就可以領取統一超商數位商品禮券 100 元喔！趕快把握機會應徵～,淇云,/profile.php?id=100003503408934&eav=AfYJUJCXbiVXIKd5w3X1ZLSoQyNGRXVI2snZ1enEDYREJSdGwSjkC8rdvLXUum9OQo4&refid=18&__tn__=C-R&paipv=0
84,2023-03-30,【展覽行銷實習生】你是否對活動籌備充滿無限的熱情？喜歡交友、互動，並對自媒體產業有所好奇及興趣？全台唯一一場創作者x電商實體媒合盛會，招募實習生咯！想成為那麽酷的展會活動背後籌備小組一員嗎？在大會中你可以接觸到各式各樣的海內外創作者，如：大型媒體、部落客、Instagrammer、Youtuber 等，透過實際的參與更了解創作者生態、以及與創作者們與電商的商業合作模式！。【亞洲創作者大會是什麽？】亞洲創作者大會是全台唯一的實體媒合展會，集結了不同產業電商/品牌資源、各個媒體平台位創作者如YouTuber、Instagrammer、Blogger等等，提供創作者與品牌現場一對一洽談接案合作的機會。點我查看：亞洲創作者大會2022活動精彩回顧。【實習資訊】申請資格：在台學生，應屆畢業生為佳。實習職缺：展覽行銷實習生實習薪資：$176/hr，含勞保。實習時間：2023/5/01 (一)~2023/10/31 (二) 每月至少需達 56 hr申請時程：4/19(三) 前完成履歷投遞 → 寄送測驗題 → 等待面試通知 → 5/02(二)on board申請方式：投遞履歷至以下信箱，採先投先審制。katy.tu@upstartdna.comleona.ng@upstartdna.com。【工作内容】1.協助2023亞洲創作者大會活動推廣與招商2.協助展會線上/線下活動籌備與行銷3.協助大會籌備執行相關事宜4.主管交辦事項。【職務需求】1.喜愛舉辦及籌備活動、對於籌辦展覽有興趣與想法2.歡迎熱愛交友、不怕生，曾經擔任過活動籌備執行工作者3.熱愛或熟悉各平台媒體、創作者並經常追蹤4.擁有清晰的邏輯架構及獨立作業、問題解決能力。如果你對網紅自媒體、電商產業生態充滿興趣，歡迎你，加入成為2023亞洲創作者大會籌備小組一員！,Leona Ng,/JennyLeo0810?eav=AfYVsfKSuWrM6fp2v0KytwVIEvjSbSIfq2MwNapiA9l9okwCUp8mdrvfvJvwqh2qbZw&refid=18&__tn__=C-R&paipv=0
85,2023-03-30,大家好~我是 Niceday 親子預訂平台（隸屬於 FunNow 集團）的 Project Management Intern，現在正執行一項親子師資培訓計畫，不限制學經歷與年齡，有興趣都可以來聽聽看我們舉辦的說明會，若有相關疑問也歡迎詢問~--Niceday 是誰？Niceday 為全台第一的親子預訂平台，隸屬於 FunNow 集團（東南亞第一都會娛樂預訂平台），從 2013 年起深耕台灣，2022 年起， Niceday 轉型專注於親子體驗，以過去 9 年累積的能量做為基礎，打造貼心、安心、開心的親子體驗預訂環境，為父母帶來最美好的預訂服務。截至今日，已有超過百間合作夥伴、數千個課程在 Niceday 平台上架；在 Niceday 的網站上，可以輕鬆地找到科學、運動、農事、生態、料理、藝術、情緒等多元的親子課程，且具備完整的評價系統、即時客服服務，打造便捷的親子體驗預訂環境。「Niceday GOGO！親子產業人才培訓計畫」是什麼？2023 年 Niceday 與 FunNow 集團（東南亞第一都會娛樂預訂平台）將攜手一起讓東南亞成為孩子的教室。我們希望培育一群對親子教育有想法、有能量的夥伴，陪伴更多在台灣＆吉隆坡的家庭與孩子。「親子產業人才培訓計畫」與台灣親子教育創新團隊「小人小學」專業師資培訓團隊合作，培訓 30~40 位種子教師們，培訓期間將教導如何與兒童對話，並進行相關實作課程。計畫時長共計 4 個月 ( 包含 2 個月的培訓及 2 個月的台灣 / 吉隆坡實習 )，未來將參與 Niceday 在吉隆坡的課程，與我們一同建立馬來西亞親子體驗預訂生態系！參與計畫可以獲得什麼收穫呢？專業師資培訓課程累積體制外教育的經驗實際到教育現場觀摩、教學說明會資訊「吉隆坡種子教師培訓計畫」報名開跑囉！如果對 Niceday 的吉隆坡師資培訓計畫有興趣，以下資訊可以幫助你更了解我們！我們會舉辦實體、線上兩場說明會，由 Niceday 事業總監 陳子倢 （扣扣老師）（同時也是創新教育機構《小人小學》創辦人）向各位說明我們的計畫與願景。🟠線上時間：4/6 (四) 晚上 7:00~8:00會議連結：將於行前通知信中提供🟠實體時間：4/9 (日) 下午 2:00~4:00地點：台北市中山區八德路二段 203 號 4 樓 ( FunNow 總部 )活動內容‼實體說明會限定‼：由 Niceday 事業總監、人資主管分享企業如何選才、親子產業人才需要的條件與能力、親子產業現況等，以及與未來夥伴的現場互動環節（👇文章最下方有報名連結👇）培訓時程日期：5~6 月，每兩週末一次 (共 4 次)，共計 16~20 小時的完整培訓課程地點：台北市中山區八德路二段 203 號 4 樓 ( FunNow 總部 )招收人數：30~40人費用：經面試通過後全程免費，並簽訂培訓備忘錄培訓課程內容兒童溝通技巧童言轉譯練習情緒探索親子對話教案設計實習時程日期：7~8月地點：台灣或馬來西亞實習內容：配合 Niceday 平台的課程，至教學現場擔任實習老師 ( 屬於兼職工作 )種子教師正式上線日期：9 月說明：完成 5~8 月的培訓後成為正式教師，配合 Niceday 至台灣 / 馬來西亞教育場館等地教學（需與 Niceday 簽約，至少配合一年）薪資待遇：時薪 TWD 300 / hr 起，薪資的多寡會根據課程專案難度而不同，且依各地區薪資計算方式及匯率調整報名時程招募對象：。1. 不限學歷。2. 不限經歷。3. 對於教學或教育有興趣。4. 未來有志前往吉隆坡工作。5. 20 歲以上。6. 馬來西亞籍報名時間：即日起 ~ 4/12 (日) 中午 12:00，採先到先審制，書審擇優通知面試面試時間：4/17(一) ~ 4/21(五)，確切時間會另行通知寄發錄取通知信：4/28 (五)前前往報名：https://www.cakeresume.com/companies/funnow/jobs/2c5c4c培訓計畫簡章：https://reurl.cc/ZXeva6報名說明會：https://reurl.cc/MR3m3X報名培訓計畫：https://reurl.cc/4Qdjljb認識 Niceday 官網：https://play.niceday.tw/FB 粉專：https://www.facebook.com/niceday.tw相關報導：。1. https://money.udn.com/money/story/5612/6514568。2. https://www.bnext.com.tw/article/68792/funnow-niceday-2022。期待你的加入！,馮家溱,/profile.php?id=100000915904858&eav=Afa0t3-9KE2ZKhm6H3d6YrezefApI_VZ5NEjuRbttD6ZRts6ihcHWEGLx-QG3-SkoP0&refid=18&__tn__=C-R&paipv=0
86,2023-03-29,仲誼公關 / WAZAIII時尚媒體 徵辦公室長期配合工讀生【公司名稱】仲誼公關【地點】台北市松山區光復南路102號【工作職缺】長期配合工讀生【徵求條件】能夠使用Microsoft Office，有耐心【工作時間】平日週一~週五，10:30-17:30，午休1hr不計薪，共計6hrs每週排班3~5天 **須於每月提供下個月排班時程【薪資待遇】180/hr，若有超時按勞基法給予加成【有勞健保】有【工作內容】品牌媒體報導報告樣品整理協助貨品寄送辦公室事務等【公司介紹】仲誼公關：https://www.instagram.com/joinpr/Wazaiii：https://www.instagram.com/wazaiii/【聯絡資訊】履歷請寄：work@wazaiii.com主旨：[應徵仲誼公關工讀生_姓名],陳又榆,/cindy.chen.710667?eav=AfY0aDueiyKAFgWqDjRl72DRcChg62-GVLvDvtayJ3_-aOGXobXNTVqkn_DxquQmRb4&refid=18&__tn__=C-R&paipv=0
87,2023-03-29,｜AI 履歷小助理，一分鐘搞定你的履歷｜大家好！我們是 Yourator 數位人才媒合平台正在找正職或實習工作的夥伴，我們能深刻體會求職準備的困擾，現在通過 AI 技術來協助快速建立你的履歷架構，邀請你來體驗我們的最新功能⭐ #AI履歷小助理 亮點功能曝光：輸入簡單關鍵字，或直接貼上履歷即可1分鐘幫你撰寫完整履歷結合履歷和職缺 JD，智能撰寫 Cover Letter點擊連結，免費體驗 👉🏻 https://lihi3.cc/CigBH📍2023/3/31 前註冊並完成履歷，還有「履歷健檢」的抽獎機會哦（市值$3000元）#AI履歷小助理 希望能幫助大家在轉職及求職的路上幫你更快展現自己的優勢，成功獲得面試機會！如果您在操作上遇到任何問題或更好的建議，都歡迎在下面留言告訴我們喔！㊗️各位在求職路上一切順利，探索更多職涯的可能性！,Yourator數位人才媒合平台,/yourator.co?eav=AfaCTMXbTpkmbVuv5enjFJLQthMegbnx6Vycq9l12gyc7lhgZW0PiZjNOO475xvi5Ks&refid=18&__tn__=C-R&paipv=0
88,2023-03-29,台北/新竹/台南同學們看過來!!~~。這是你與 Elon Musk 最近的距離!。【 實習】 立可人事代徵｜台南外企實習｜全球最大電動車找Sales Intern【公司名稱】Tesla 台灣特斯拉【工作職缺】Sales Intern【工作內容】•  代表公司將品牌理念傳遞給所有人•  參與公司內部部門會議，與正職員工們一起進行腦力激盪，企劃發想並執行•  協助公司的新品以及活動宣傳【徵求條件】•  配合度高、熱於分享、勇於提出想法•  一週可配合3-4天•  彈性配合工作、具備良好溝通能力•  對能源、電動產業有興趣•  學生、夜校生可【工作時間】•  一週至少安排3個全天，或一次只能4小時請給一週至少24hr的班•  週六週日要可以配合彈性排班（不一定都會排班但希望能彈性配合）•  長期配合，至少半年起，高機率轉正【薪資福利】•   時薪$200 （享勞基法保障）•   擁有轉正機會•   彈性自由的排班時間•   專屬產品相關知識課程•   到外縣市培訓/支援活動【有無勞健保】有、健保經要求後可在本公司納保【連絡方式】rtemp4@recruitexpress.com.tw【工作地點】。•   台北－台北信義體驗店 臺北市信義區松壽路11 號•   新竹－TESLA 竹北體驗店 竹北市莊敬北路18 號•   台南－Tesla 台南安平服務體驗中心 南區新樂路22號。【其他備註】美國最大的電動汽車及太陽能板公司，2018已經成為世界最暢銷充電式汽車公司。2021年10月，成為第六家市值破1兆美元的巨頭企業。如果你對外商公司、具有前瞻性的企業有興趣，又熱愛分享熱愛能源產業，你就是我們要找的人😄官網連結：https://www.tesla.com/zh_TW/,李軒騰,/profile.php?id=100012237129189&eav=AfaPYKL1lYU8o21HI7R65ZVDfgUEHyDWoi_-aKPNEl2qPi_BBiNAj8jeKz2XT-rB4oo&refid=18&__tn__=C-R&paipv=0
89,2023-03-22,哈囉，有機會學習POINT Ads和公共帳號相關知識的技巧囉，歡迎了解HTML、Java的人選~~⭐️派遣至LINE PT_CB_Account Solution Product Technical Assistant【工作內容】• 幫助 POINT 客戶在平台上順利使用。• 幫助解決POINT Ads 相關問題。• 與高級技術顧問和同儕合作，確定並解決常見的技術問題。。【其他條件】• 資科相關背景（計算機科學、資訊技術、資訊系統、計算機工程）或類似經驗。• 對 HTML 和 JavaScript 等技術有良好理解。• 熟悉 HTTP、瀏覽器和網路標準• 出色的人際關係和溝通技巧。• 出色的組織和時間管理能力。【上班時間】10-19點。【投遞連結】(也可以直接於PO文底下留言或直接與聯絡人聯繫)https://www.104.com.tw/job/7v0ba?jobsource=jolist_d_relevance。【上班地點】LINE TAIWAN 內湖總辦公室(近捷運港墘站)【薪資待遇】時薪 180元，含勞健保【聯絡人】Andrew，歡迎來訊詢問~Email: andrew.li@manpowergrc.twTEL: 02-27845352#582,Li Ming-Yu,/profile.php?id=100008234567118&eav=Afak5tdLiknOYpxP4YkYZmeN0iJQlfZ4w7OFslfqCBfMDT7EXPi0h5DmmPMwCDM1YN8&refid=18&__tn__=C-R&paipv=0
90,2023-02-15,嗨，大家每天都在使用的 LINE 又有新的實習機會囉～歡迎大學生/研究生，只要你覺得你足夠細心、邏輯清晰、願意學習，或是想體驗外商工作環境都歡迎投遞~⭐️派遣至LINE PT_CC_Data Management Specialist【工作內容】1. 協助處理AI訓練所需大量的訓練資料(Training Data)2. 負責整理、標註資料(圖像/語音/文字等)以及分析用戶邏輯與情境，整理過往客服文本3. 訓練Chat Bot引擎4. 設計各類對話場景，優化使用體驗5.應用領域主要包含但不侷限於圖像識別、語義理解、語音識別、客戶滿意度與黏著度等【其他條件】1. 熟悉資料視覺化工具2. 需有英文能力3. 對ML/NLP領域有經驗4. 良好的溝通能力和邏輯表達能力，具備良好的團隊合作精神和主動意識。5.須具備分析能力以及高度語言文字敏感度【上班時間】10-19點【投遞連結】https://www.104.com.tw/job/7ktfd?jobsource=jolist_c_relevance【上班地點】LINE TAIWAN 內湖總辦公室(近捷運港墘站)【薪資待遇】時薪 180元，含勞健保，員工另有其他福利。**以上職缺為萬寶華協助招募，若對約聘相關問題想要了解歡迎來信詢問**【聯絡人】Andrew，歡迎來訊詢問~Email: andrew.li@manpowergrc.twTEL: 02-27845352#582,Li Ming-Yu,/profile.php?id=100008234567118&eav=AfZHkTSIyx_W3k1HoGuVr7OHfbnXs0zfGCcVLaozTb_Xwd06MoD-IBbcPJmMEK-YJ30&refid=18&__tn__=C-R&paipv=0
91,2022-09-01,"【UberEats 招募專案實習生囉❗❗】📍職位名稱：【信義】UberEats_PayFac專案實習生在這份實習中，你將有機會負責聯繫超過30,000家的餐廳店家，能大幅度培養妳/你的口條、臨機應變及客戶維繫的能力。📍工作內容：撥電話給餐廳店家確認資料，推PayFac(第三方支付)驗證專案。透過電客戶聯繫。確認餐廳匯款,帳務等事宜。協助內部同仁整理客戶名單及報表統整，分類客戶名單。協助將餐廳資訊key in 入內部系統 (經常使用Salesforce, G-Suite應用程式)其他上級主管交辦的行政事務📍職務需求：• 熟悉文書軟體。Excel , Word...等• 具優秀的溝通能力，能與客戶溝通不膽怯及不怕受挫• 需有耐心並且細心處理客戶問題• 有效管理多重事務，並設立優先順序於時效內完成• 英文基本閱讀能力⏰工作時間 :2022/09/01~2022/12/31日班 10:00-19:00（中間休息一小時）一週配合3天以上，一週能配合5天者尤佳防疫期間，可以在家工作。公司提供公務機、公務電腦💰薪資待遇：每小時薪資 NT168📍上班地點 :台北市信義區松高路1號 (近市府站）📍 勞健保：當然會有！📍實習生福利：• 完整教育訓練• 提供公務機、公務電腦🔗有興趣者歡迎至104投遞：https://www.104.com.tw/job/7jf95?jobsource=ios_share📩也歡迎投遞履歷至：VanessaJY.Lee@adecco.com(顧問vanessa)。記得主旨打上應徵職缺以及姓名",Vanessa Lee,/profile.php?id=100003738919153&eav=AfaOqnD7P-IaCMYszoYjoPBVVauRSiEeCJXyb22hqUbEsJAZ97w9j4wHkrwnFgcmmGk&refid=18&__tn__=C-R&paipv=0
92,2023-03-29,【樂學舍】｜實習生計畫第二梯次來惹 不論你是即將畢業的#新鮮人或是想實習但還沒找到實習機會的#在學生。要即將畢業卻還不清楚自己想做什麼職位？適合什麼產業？。。只要你對教育產業充滿想像、好奇心，想提前進入職場累積實務經驗。我們都歡迎這樣的你前來報名「樂學舍實習生計畫說明會」。。不管是否有參與過3月場的同學，都可以參與4月或5月場喔。機會就在眼前！要好好抓住！要相信自己！勇敢踏出那一步！。▍在4個小時說明會中，你…💬 會深入地了解樂學舍💬 將聽到各部門工作內容分享💬 可以與部門夥伴職場交流💬 有學長姐帶領完成活動任務。▍WE ARE LOOKING FOR…📍 品牌顧問實習生：說明相關權益及服務內容，並可以學習到行銷/銷售技巧。（2 位）📍 教學規劃實習生：教材與題庫編輯，課程規劃發想、部分實習內容需全英。（2 位）📍 活動規劃實習生：社群經營、協助實體活動執行、實習數據分析。（2 位）📍 特助實習生：協助辦人處理交辦事項、行事曆規劃、商業簡報製作、資料分析。（1 位）。【實習資訊】實習期間｜可與主管討論實習天數｜一週至少3天（週五需到班）應徵條件｜大四、碩博士（不限科系）薪資待遇｜時薪200元起工作地點｜台中市南區忠明南路787號13樓（樂學舍數位教育）。【實習計畫說明會資訊】活動時間｜2023.04.15 (六) 13:00-17:00活動地點｜台中市南區忠明南路787號13樓報名網址｜https://reurl.cc/zAbxr0 （2023.04.10 截止）活動報名確認信將在 2023.04.10 (一) 起陸續寄出。▶ 想了解更多資訊，請參考官網電腦版：https://www.ourscool.net/3。手機版：https://mobile.ourscool.net/2 。。,Emily Wu,/qianming.wu?eav=Afbd03cB-2Fi4-blj4oxt-1PrU1uf2t4WrRHi6bCYrAbfk-0LghZQ9KucO2bwaf9Zlk&refid=18&__tn__=C-R&paipv=0
